X23.1006 Y61.1957 Z76.3460
X23.0221 Y61.1598 Z76.2970
X22.4838 Y60.9069 Z75.9532
X21.0827 Y60.1948 Z74.9969
X18.5444 Y58.6989 Z73.0278
X14.8199 Y55.9754 Z69.5236
X10.2239 Y51.5134 Z63.9064
X5.6229 Y44.8806 Z55.7736
X2.6361 Y35.8933 Z45.3183
X3.6106 Y24.7703 Z33.8818
X10.5509 Y12.3594 Z24.0993
X22.6650 Y0.4761 Z18.5422
X36.1275 Y-8.2580 Z17.6624
X47.6050 Y-12.0755 Z19.8899
X55.9906 Y-11.6640 Z23.3183
X61.5448 Y-9.1594 Z26.6612
X64.9461 Y-6.3709 Z29.3025
X66.8569 Y-4.2291 Z31.0682
X67.7921 Y-2.9857 Z32.0316
X68.1306 Y-2.4982 Z32.3998
X68.1790 Y-2.4268 Z32.4533
