X2.0923 Y74.2962 Z26.8987
X2.0132 Y74.2379 Z26.7781
X1.4702 Y73.8307 Z25.9409
X0.0560 Y72.7123 Z23.6837
X-2.5118 Y70.4507 Z19.3011
X-6.2974 Y66.4720 Z12.1831
X-10.9847 Y60.0208 Z2.3791
X-15.5472 Y50.2082 Z-7.8739
X-17.6202 Y36.2832 Z-12.9212
X-13.0444 Y18.6069 Z-8.8639
X1.1476 Y0.8810 Z1.0929
X20.6153 Y-9.8049 Z12.5715
X38.3797 Y-10.4762 Z23.2880
X51.7768 Y-4.7276 Z32.2789
X60.9986 Y3.1654 Z39.2210
X66.9377 Y10.6273 Z44.1679
X70.5049 Y16.4668 Z47.4064
X72.4695 Y20.3562 Z49.3212
X73.4139 Y22.4738 Z50.2900
X73.7518 Y23.2820 Z50.6465
X73.7999 Y23.3995 Z50.6978
