X2.0923 Y74.2962 Z26.8987
X2.1045 Y74.2239 Z26.8349
X2.1908 Y73.7270 Z26.4057
X2.4365 Y72.4334 Z25.3560
X2.9655 Y70.0774 Z23.6855
X3.9685 Y66.5435 Z21.7205
X5.7126 Y61.8833 Z20.0184
X8.5109 Y56.3076 Z19.1453
X12.6449 Y50.1622 Z19.4729
X18.2533 Y43.8928 Z21.1005
X25.2312 Y37.9893 Z23.8949
X33.2035 Y32.9006 Z27.5773
X41.6006 Y28.9347 Z31.8003
X49.7932 Y26.1866 Z36.1968
X57.2115 Y24.5365 Z40.4078
X63.4160 Y23.7175 Z44.1069
X68.1347 Y23.4159 Z47.0365
X71.2928 Y23.3616 Z49.0573
X73.0328 Y23.3804 Z50.1923
X73.7023 Y23.3967 Z50.6333
X73.7999 Y23.3995 Z50.6978
