X38.5002 Y48.4932 Z18.3055
X38.5244 Y48.4984 Z18.3382
X38.6929 Y48.5323 Z18.5605
X39.1502 Y48.6078 Z19.1204
X40.0503 Y48.6950 Z20.0652
X41.5579 Y48.6961 Z21.2818
X43.8158 Y48.4421 Z22.4766
X46.8774 Y47.7343 Z23.2370
X50.6322 Y46.4344 Z23.1817
X54.7716 Y44.5611 Z22.1219
X58.8273 Y42.3144 Z20.1212
X62.2859 Y39.9914 Z17.4218
X64.7512 Y37.8569 Z14.3365
X66.0855 Y36.0716 Z11.1880
X66.4420 Y34.6984 Z8.2802
X66.1684 Y33.7307 Z5.8549
X65.6461 Y33.1116 Z4.0455
X65.1610 Y32.7569 Z2.8647
X64.8516 Y32.5827 Z2.2278
X64.7251 Y32.5198 Z1.9857
X64.7064 Y32.5108 Z1.9505
