X50.1489 Y52.3163 Z58.7730
X50.1257 Y52.2626 Z58.7316
X49.9634 Y51.8940 Z58.4443
X49.5167 Y50.9329 Z57.6696
X48.6144 Y49.1860 Z56.1603
X47.0506 Y46.6066 Z53.6598
X44.6236 Y43.3798 Z49.9352
X41.2408 Y40.0082 Z44.8571
X37.0584 Y37.3321 Z38.5132
X32.5703 Y36.3683 Z31.3251
X28.5268 Y37.8685 Z24.1204
X25.6323 Y41.7678 Z18.0462
X24.1929 Y47.0914 Z14.1804
X24.0201 Y52.5659 Z12.9470
X24.6406 Y57.2863 Z13.8591
X25.5684 Y60.8846 Z15.8835
X26.4533 Y63.3608 Z18.0319
X27.1095 Y64.8839 Z19.6955
X27.4880 Y65.6763 Z20.6727
X27.6364 Y65.9723 Z21.0585
X27.6582 Y66.0151 Z21.1152
