X37.8606 Y78.6005 Z58.1353
X37.8656 Y78.5702 Z58.1294
X37.9008 Y78.3622 Z58.0904
X37.9977 Y77.8196 Z57.9955
X38.1945 Y76.8278 Z57.8488
X38.5422 Y75.3320 Z57.6926
X39.1057 Y73.3457 Z57.6070
X39.9578 Y70.9473 Z57.6921
X41.1651 Y68.2660 Z58.0413
X42.7680 Y65.4611 Z58.7143
X44.7622 Y62.6983 Z59.7207
X47.0851 Y60.1273 Z61.0154
X49.6143 Y57.8632 Z62.5059
X52.1796 Y55.9763 Z64.0672
X54.5887 Y54.4907 Z65.5621
X56.6618 Y53.3913 Z66.8643
X58.2684 Y52.6362 Z67.8813
X59.3546 Y52.1683 Z68.5724
X59.9558 Y51.9231 Z68.9560
X60.1876 Y51.8310 Z69.1041
X60.2214 Y51.8177 Z69.1257
