X37.8606 Y78.6005 Z58.1353
X37.8612 Y78.5929 Z58.1139
X37.8658 Y78.5378 Z57.9667
X37.8831 Y78.3666 Z57.5763
X37.9350 Y77.9503 Z56.8442
X38.0680 Y77.0668 Z55.7179
X38.3675 Y75.4211 Z54.2609
X38.9817 Y72.7567 Z52.7540
X40.1383 Y69.0346 Z51.7269
X42.0942 Y64.5793 Z51.7802
X44.9702 Y60.0498 Z53.2404
X48.5550 Y56.1858 Z55.9239
X52.2915 Y53.4652 Z59.2243
X55.5278 Y51.9360 Z62.4334
X57.8477 Y51.3241 Z65.0483
X59.2162 Y51.2575 Z66.8927
X59.8731 Y51.4228 Z68.0452
X60.1254 Y51.6195 Z68.6885
X60.2016 Y51.7534 Z68.9987
X60.2193 Y51.8094 Z69.1099
X60.2214 Y51.8177 Z69.1257
