X53.0748 Y59.3331 Z67.1481
X53.0505 Y59.3353 Z67.1185
X52.8839 Y59.3512 Z66.9151
X52.4522 Y59.3962 Z66.3839
X51.6740 Y59.4925 Z65.4117
X50.5273 Y59.6735 Z63.9408
X49.0548 Y59.9834 Z61.9756
X47.3543 Y60.4708 Z59.5767
X45.5562 Y61.1766 Z56.8476
X43.7962 Y62.1197 Z53.9180
X42.1916 Y63.2860 Z50.9285
X40.8238 Y64.6243 Z48.0180
X39.7321 Y66.0510 Z45.3129
X38.9155 Y67.4630 Z42.9185
X38.3430 Y68.7560 Z40.9113
X37.9670 Y69.8425 Z39.3344
X37.7364 Y70.6676 Z38.1937
X37.6065 Y71.2171 Z37.4584
X37.5428 Y71.5182 Z37.0630
X37.5197 Y71.6338 Z36.9127
X37.5164 Y71.6506 Z36.8908
