X53.0748 Y59.3331 Z67.1481
X53.0697 Y59.3194 Z67.1349
X53.0319 Y59.2255 Z67.0409
X52.9114 Y58.9818 Z66.7684
X52.6086 Y58.5442 Z66.1676
X51.9515 Y57.9164 Z65.0100
X50.7243 Y57.1846 Z63.0150
X48.7804 Y56.5590 Z59.9576
X46.1984 Y56.3793 Z55.8286
X43.3483 Y57.0169 Z50.9466
X40.7560 Y58.6653 Z45.9313
X38.8363 Y61.1532 Z41.5170
X37.7063 Y63.9827 Z38.2783
X37.2158 Y66.5958 Z36.4121
X37.1148 Y68.6381 Z35.7176
X37.1918 Y70.0306 Z35.7705
X37.3159 Y70.8777 Z36.1394
X37.4219 Y71.3410 Z36.5212
X37.4866 Y71.5612 Z36.7719
X37.5126 Y71.6395 Z36.8754
X37.5164 Y71.6506 Z36.8908
