X72.1176 Y77.2805 Z24.6048
X72.0661 Y77.2164 Z24.6141
X71.7136 Y76.7776 Z24.6792
X70.8030 Y75.6437 Z24.8577
X69.1698 Y73.6103 Z25.2178
X66.7733 Y70.6351 Z25.8463
X63.6932 Y66.8442 Z26.8488
X60.0965 Y62.4980 Z28.3343
X56.1955 Y57.9314 Z30.3870
X52.2144 Y53.4882 Z33.0316
X48.3644 Y49.4624 Z36.2069
X44.8264 Y46.0560 Z39.7584
X41.7370 Y43.3604 Z43.4581
X39.1787 Y41.3641 Z47.0440
X37.1766 Y39.9798 Z50.2679
X35.7052 Y39.0810 Z52.9368
X34.7021 Y38.5362 Z54.9406
X34.0848 Y38.2324 Z56.2646
X33.7628 Y38.0846 Z56.9870
X33.6424 Y38.0313 Z57.2635
X33.6250 Y38.0237 Z57.3038
