X16.8656 Y72.2209 Z37.7439
X16.8124 Y72.1808 Z37.6513
X16.4440 Y71.8999 Z37.0127
X15.4624 Y71.1177 Z35.3301
X13.5920 Y69.4999 Z32.2118
X10.5898 Y66.5831 Z27.5032
X6.2963 Y61.7717 Z21.5831
X0.7646 Y54.4287 Z15.8245
X-5.4993 Y44.1208 Z12.7840
X-11.1924 Y31.1761 Z15.0023
X-13.9306 Y17.5868 Z22.5198
X-10.9450 Y6.9412 Z32.7125
X-1.9314 Y1.7147 Z42.8431
X9.5736 Y1.2934 Z51.4053
X19.7926 Y3.5471 Z57.9153
X27.2205 Y6.6297 Z62.4605
X31.9732 Y9.4311 Z65.3851
X34.6988 Y11.4490 Z67.0944
X36.0457 Y12.5947 Z67.9536
X36.5352 Y13.0406 Z68.2690
X36.6053 Y13.1058 Z68.3143
