X64.4170 Y24.4063 Z64.4708
X64.2658 Y24.2617 Z64.3506
X63.2320 Y23.2734 Z63.5286
X60.5689 Y20.7349 Z61.4072
X55.8022 Y16.2391 Z57.5864
X48.7912 Y9.8134 Z51.8579
X39.7470 Y2.0131 Z44.0754
X29.4138 Y-5.9236 Z33.9875
X19.5857 Y-11.6676 Z21.2212
X13.3557 Y-11.2629 Z5.8875
X13.2139 Y-1.0677 Z-9.4618
X18.4250 Y15.8948 Z-18.6907
X26.4028 Y32.6612 Z-18.0216
X35.1369 Y46.3219 Z-10.4106
X43.5161 Y56.9919 Z-0.3556
X50.8881 Y65.2588 Z9.2714
X56.7989 Y71.4495 Z17.0350
X60.9614 Y75.6764 Z22.3872
X63.3484 Y78.0739 Z25.3840
X64.2884 Y79.0152 Z26.5463
X64.4265 Y79.1535 Z26.7162
