X71.3453 Y58.3055 Z19.7165
X71.3121 Y58.2578 Z19.6713
X71.0817 Y57.9303 Z19.3598
X70.4603 Y57.0828 Z18.5366
X69.2493 Y55.5672 Z16.9956
X67.2414 Y53.4017 Z14.5944
X64.2491 Y50.8636 Z11.3041
X60.1828 Y48.5513 Z7.2934
X55.1763 Y47.2988 Z3.0336
X49.7166 Y47.8308 Z-0.6451
X44.6495 Y50.3084 Z-2.6882
X40.9034 Y54.2025 Z-2.2755
X39.0194 Y58.6492 Z0.5962
X38.8930 Y62.8904 Z5.0134
X39.9457 Y66.4685 Z9.7299
X41.4840 Y69.2064 Z13.8129
X42.9586 Y71.1140 Z16.8440
X44.0582 Y72.3018 Z18.7913
X44.6948 Y72.9249 Z19.8281
X44.9448 Y73.1587 Z20.2194
X44.9814 Y73.1925 Z20.2761
