X56.1264 Y31.0642 Z53.3806
X56.1195 Y31.0590 Z53.3705
X56.0683 Y31.0180 Z53.3007
X55.9036 Y30.8637 Z53.1177
X55.4844 Y30.4010 Z52.7821
X54.5590 Y29.2510 Z52.2869
X52.7904 Y26.8811 Z51.7051
X49.8918 Y22.8104 Z51.2786
X45.8396 Y16.9634 Z51.4902
X41.0284 Y9.9562 Z52.9627
X36.2386 Y3.0091 Z56.0872
X32.4032 Y-2.6180 Z60.6006
X30.2232 Y-6.2977 Z65.5856
X29.7759 Y-8.2032 Z69.9968
X30.4636 Y-8.9208 Z73.2157
X31.4869 Y-9.0182 Z75.1929
X32.3458 Y-8.8755 Z76.2314
X32.9010 Y-8.6997 Z76.7047
X33.1904 Y-8.5797 Z76.8922
X33.2979 Y-8.5295 Z76.9510
X33.3133 Y-8.5221 Z76.9589
