X56.1264 Y31.0642 Z53.3806
X56.0927 Y31.0126 Z53.3805
X55.8613 Y30.6590 Z53.3807
X55.2593 Y29.7382 Z53.3893
X54.1654 Y28.0621 Z53.4366
X52.5306 Y25.5520 Z53.5873
X50.3866 Y22.2533 Z53.9430
X47.8374 Y18.3271 Z54.6274
X45.0412 Y14.0219 Z55.7575
X42.1881 Y9.6321 Z57.4081
X39.4782 Y5.4499 Z59.5817
X37.1010 Y1.7186 Z62.1919
X35.2107 Y-1.4022 Z65.0695
X33.8987 Y-3.8513 Z67.9899
X33.1657 Y-5.6561 Z70.7146
X32.9111 Y-6.9038 Z73.0365
X32.9575 Y-7.7083 Z74.8176
X33.1137 Y-8.1816 Z76.0120
X33.2450 Y-8.4211 Z76.6694
X33.3043 Y-8.5094 Z76.9221
X33.3133 Y-8.5221 Z76.9589
