X42.6291 Y36.8862 Z4.9414
X42.5861 Y36.8293 Z4.8698
X42.2873 Y36.4353 Z4.3795
X41.4806 Y35.3762 Z3.1126
X39.9020 Y33.3243 Z0.8527
X37.2552 Y29.9510 Z-2.3675
X33.2106 Y24.9916 Z-6.1220
X27.4503 Y18.4560 Z-9.4095
X19.8027 Y11.0449 Z-10.5152
X10.5580 Y4.5088 Z-7.3405
X1.0034 Y1.0034 Z1.0034
X-6.3478 Y1.3340 Z12.4973
X-9.1392 Y4.4673 Z23.7900
X-7.3953 Y8.8113 Z32.9109
X-3.1741 Y13.1678 Z39.5012
X1.4530 Y16.8696 Z43.9255
X5.2932 Y19.6391 Z46.7042
X7.9188 Y21.4484 Z48.3076
X9.3657 Y22.4259 Z49.1087
X9.9207 Y22.7980 Z49.4020
X10.0015 Y22.8520 Z49.4441
