X34.8504 Y25.9832 Z-9.4764
X34.7868 Y25.8979 Z-9.5588
X34.3453 Y25.3075 Z-10.1224
X33.1602 Y23.7300 Z-11.5754
X30.8628 Y20.7091 Z-14.1511
X27.0495 Y15.8333 Z-17.7604
X21.2453 Y8.8677 Z-21.7539
X12.8931 Y0.1882 Z-24.5093
X1.4846 Y-8.3544 Z-22.9749
X-12.7477 Y-13.3022 Z-13.9409
X-26.8238 Y-12.5948 Z1.0631
X-33.5993 Y-7.7421 Z16.2007
X-29.6797 Y-1.2425 Z28.0322
X-20.3493 Y5.2886 Z36.2930
X-10.5789 Y11.0427 Z41.7700
X-2.4711 Y15.6551 Z45.2671
X3.4072 Y19.0142 Z47.3975
X7.1514 Y21.1816 Z48.6025
X9.1413 Y22.3458 Z49.1969
X9.8927 Y22.7878 Z49.4132
X10.0015 Y22.8520 Z49.4441
