X35.7930 Y41.4912 Z45.2989
X35.7886 Y41.4817 Z45.2923
X35.7514 Y41.4174 Z45.2437
X35.5992 Y41.2548 Z45.0906
X35.1091 Y40.9801 Z44.7101
X33.8364 Y40.6377 Z43.8876
X31.1380 Y40.3827 Z42.3450
X26.3922 Y40.5653 Z39.8808
X19.4112 Y41.7820 Z36.6005
X10.8443 Y44.7131 Z33.1042
X2.1908 Y49.6555 Z30.4565
X-4.8827 Y56.0776 Z29.8202
X-9.5187 Y62.7521 Z31.7357
X-11.9430 Y68.4358 Z35.4757
X-12.9097 Y72.4636 Z39.4284
X-13.1192 Y74.8583 Z42.3674
X-13.0239 Y76.0571 Z44.0620
X-12.8660 Y76.5646 Z44.8690
X-12.7518 Y76.7473 Z45.1962
X-12.7031 Y76.7998 Z45.3000
X-12.6958 Y76.8066 Z45.3141
