X66.6553 Y29.6728 Z56.7200
X66.6240 Y29.6616 Z56.7227
X66.4051 Y29.5855 Z56.7371
X65.7988 Y29.3964 Z56.7429
X64.5593 Y29.0879 Z56.6332
X62.3735 Y28.7250 Z56.1662
X58.9210 Y28.4688 Z54.9766
X54.0688 Y28.5897 Z52.6806
X48.1571 Y29.4430 Z49.0460
X42.1410 Y31.3592 Z44.1331
X37.2961 Y34.4389 Z38.3352
X34.5525 Y38.3746 Z32.3162
X34.0164 Y42.5109 Z26.8485
X35.0865 Y46.1647 Z22.5506
X36.9259 Y48.9340 Z19.6531
X38.8445 Y50.7708 Z17.9841
X40.4314 Y51.8553 Z17.1643
X41.5236 Y52.4296 Z16.8211
X42.1295 Y52.6950 Z16.6985
X42.3628 Y52.7877 Z16.6634
X42.3968 Y52.8008 Z16.6589
