X42.6291 Y36.8862 Z4.9414
X42.5814 Y36.8232 Z4.8622
X42.2482 Y36.3847 Z4.3215
X41.3302 Y35.1882 Z2.9387
X39.4618 Y32.8027 Z0.5313
X36.1421 Y28.7206 Z-2.7231
X30.6902 Y22.4692 Z-6.0449
X22.2589 Y14.0829 Z-7.6578
X9.9468 Y5.0828 Z-4.3955
X-6.7894 Y-1.0535 Z7.0758
X-26.4757 Y-1.3886 Z25.5089
X-41.6687 Y3.4679 Z44.7299
X-43.0286 Y10.8549 Z60.5031
X-34.2079 Y18.4823 Z72.0456
X-22.8324 Y25.0346 Z79.9218
X-12.7442 Y29.9942 Z84.9501
X-5.2727 Y33.3617 Z87.9278
X-0.5073 Y35.3987 Z89.5392
X2.0132 Y36.4435 Z90.3015
X2.9611 Y36.8307 Z90.5716
X3.0983 Y36.8864 Z90.6099
