X36.9996 Y24.6898 Z27.7996
X36.9778 Y24.6662 Z27.7717
X36.8278 Y24.5037 Z27.5798
X36.4350 Y24.0774 Z27.0759
X35.7122 Y23.2894 Z26.1427
X34.6098 Y22.0789 Z24.7038
X33.1218 Y20.4269 Z22.7299
X31.2849 Y18.3560 Z20.2386
X29.1716 Y15.9249 Z17.2893
X26.8803 Y13.2205 Z13.9771
X24.5228 Y10.3493 Z10.4246
X22.2127 Y7.4299 Z6.7761
X20.0555 Y4.5874 Z3.1908
X18.1396 Y1.9464 Z-0.1651
X16.5299 Y-0.3762 Z-3.1323
X15.2632 Y-2.2839 Z-5.5775
X14.3459 Y-3.7170 Z-7.4169
X13.7542 Y-4.6674 Z-8.6374
X13.4358 Y-5.1878 Z-9.3056
X13.3148 Y-5.3874 Z-9.5619
X13.2973 Y-5.4165 Z-9.5992
