X36.9996 Y24.6898 Z27.7996
X36.9624 Y24.6852 Z27.8212
X36.7037 Y24.6511 Z27.9679
X36.0056 Y24.5470 Z28.3329
X34.6417 Y24.2983 Z28.9302
X32.3710 Y23.7783 Z29.6442
X28.9661 Y22.8121 Z30.2009
X24.3053 Y21.2146 Z30.1845
X18.5237 Y18.8525 Z29.1145
X12.1691 Y15.7069 Z26.5733
X6.2478 Y11.9133 Z22.3575
X2.0040 Y7.7704 Z16.6342
X0.3687 Y3.7096 Z10.0482
X1.3567 Y0.2008 Z3.6240
X4.0341 Y-2.4095 Z-1.6625
X7.1729 Y-4.0434 Z-5.3606
X9.8844 Y-4.8898 Z-7.6066
X11.7780 Y-5.2503 Z-8.8128
X12.8320 Y-5.3769 Z-9.3745
X13.2381 Y-5.4120 Z-9.5714
X13.2973 Y-5.4165 Z-9.5992
