X51.0195 Y21.5973 Z41.2403
X50.9590 Y21.5729 Z41.2265
X50.5423 Y21.4037 Z41.1289
X49.4412 Y20.9496 Z40.8541
X47.3825 Y20.0714 Z40.2744
X44.1900 Y18.6299 Z39.2055
X39.8707 Y16.4966 Z37.4064
X34.7467 Y13.5798 Z34.6205
X29.5811 Y9.8605 Z30.6622
X25.5611 Y5.4419 Z25.5590
X23.9510 Y0.6231 Z19.7331
X25.3963 Y-4.0294 Z14.0799
X29.3950 Y-7.7371 Z9.6707
X34.6141 Y-9.8365 Z7.1274
X39.7413 Y-10.2259 Z6.2980
X43.9899 Y-9.4392 Z6.5447
X47.0833 Y-8.2377 Z7.2035
X49.0584 Y-7.1911 Z7.8296
X50.1090 Y-6.5454 Z8.2280
X50.5058 Y-6.2854 Z8.3903
X50.5633 Y-6.2470 Z8.4144
