X51.0195 Y21.5973 Z41.2403
X51.0122 Y21.5755 Z41.2118
X50.9623 Y21.4255 Z41.0152
X50.8342 Y21.0322 Z40.5001
X50.6076 Y20.3051 Z39.5494
X50.2851 Y19.1874 Z38.0929
X49.8951 Y17.6612 Z36.1141
X49.4878 Y15.7465 Z33.6509
X49.1250 Y13.4972 Z30.7891
X48.8651 Y10.9934 Z27.6527
X48.7498 Y8.3339 Z24.3899
X48.7940 Y5.6292 Z21.1588
X48.9823 Y2.9960 Z18.1128
X49.2738 Y0.5510 Z15.3857
X49.6126 Y-1.5972 Z13.0799
X49.9412 Y-3.3596 Z11.2569
X50.2143 Y-4.6816 Z9.9325
X50.4063 Y-5.5574 Z9.0763
X50.5149 Y-6.0365 Z8.6152
X50.5571 Y-6.2202 Z8.4398
X50.5633 Y-6.2470 Z8.4144
