X53.0794 Y48.0808 Z-1.3908
X53.0405 Y48.0362 Z-1.3582
X52.7734 Y47.7316 Z-1.1327
X52.0779 Y46.9466 Z-0.5316
X50.8123 Y45.5489 Z0.6160
X48.9185 Y43.5369 Z2.4695
X46.4334 Y41.0551 Z5.1686
X43.4831 Y38.3693 Z8.8085
X40.2624 Y35.8023 Z13.4013
X37.0036 Y33.6503 Z18.8394
X33.9403 Y32.1121 Z24.8847
X31.2705 Y31.2546 Z31.1972
X29.1243 Y31.0202 Z37.3940
X27.5455 Y31.2617 Z43.1139
X26.4927 Y31.7890 Z48.0645
X25.8626 Y32.4127 Z52.0508
X25.5269 Y32.9807 Z54.9878
X25.3682 Y33.3996 Z56.9057
X25.3026 Y33.6423 Z57.9453
X25.2814 Y33.7378 Z58.3419
X25.2785 Y33.7518 Z58.3996
