X30.0089 Y70.0018 Z63.0016
X29.9094 Y69.9335 Z62.9278
X29.2266 Y69.4622 Z62.4182
X27.4544 Y68.2171 Z61.0654
X24.2560 Y65.8800 Z58.5054
X19.5697 Y62.1931 Z54.4283
X13.7240 Y56.9589 Z48.6123
X7.5694 Y50.0483 Z41.0316
X2.6132 Y41.4606 Z32.1118
X1.0050 Y31.5129 Z23.1157
X4.7750 Y21.2103 Z16.1482
X13.8728 Y12.5281 Z12.9704
X25.4052 Y7.7363 Z13.5856
X36.2164 Y7.6324 Z16.6076
X44.8573 Y10.8869 Z20.5214
X51.1611 Y15.3879 Z24.2745
X55.4268 Y19.5326 Z27.2908
X58.0470 Y22.5323 Z29.3516
X59.4149 Y24.2369 Z30.4943
X59.9275 Y24.9002 Z30.9348
X60.0016 Y24.9972 Z30.9990
