X45.6754 Y58.1150 Z26.8287
X45.6541 Y58.0967 Z26.8317
X45.5077 Y57.9710 Z26.8522
X45.1239 Y57.6430 Z26.9076
X44.4154 Y57.0423 Z27.0164
X43.3295 Y56.1344 Z27.1994
X41.8533 Y54.9253 Z27.4805
X40.0137 Y53.4604 Z27.8833
X37.8732 Y51.8160 Z28.4263
X35.5216 Y50.0863 Z29.1159
X33.0667 Y48.3692 Z29.9399
X30.6243 Y46.7529 Z30.8649
X28.3084 Y45.3065 Z31.8375
X26.2209 Y44.0760 Z32.7924
X24.4433 Y43.0831 Z33.6625
X23.0282 Y42.3292 Z34.3917
X21.9941 Y41.7988 Z34.9445
X21.3227 Y41.4636 Z35.3124
X20.9600 Y41.2856 Z35.5139
X20.8219 Y41.2183 Z35.5912
X20.8018 Y41.2086 Z35.6024
