X10.6503 Y30.5318 Z54.9540
X10.6651 Y30.5277 Z54.9280
X10.7672 Y30.4994 Z54.7494
X11.0366 Y30.4271 Z54.2813
X11.5404 Y30.3011 Z53.4169
X12.3286 Y30.1272 Z52.0923
X13.4305 Y29.9290 Z50.2938
X14.8500 Y29.7460 Z48.0604
X16.5627 Y29.6260 Z45.4798
X18.5141 Y29.6146 Z42.6780
X20.6223 Y29.7432 Z39.8037
X22.7848 Y30.0196 Z37.0094
X24.8895 Y30.4238 Z34.4325
X26.8273 Y30.9103 Z32.1803
X28.5054 Y31.4185 Z30.3211
X29.8582 Y31.8859 Z28.8830
X30.8557 Y32.2634 Z27.8569
X31.5074 Y32.5248 Z27.2022
X31.8606 Y32.6714 Z26.8525
X31.9954 Y32.7282 Z26.7200
X32.0150 Y32.7365 Z26.7008
