X50.1489 Y52.3163 Z58.7730
X50.1168 Y52.3170 Z58.7386
X49.8969 Y52.3222 Z58.5018
X49.3259 Y52.3404 Z57.8834
X48.2932 Y52.3914 Z56.7491
X46.7620 Y52.5132 Z55.0277
X44.7784 Y52.7627 Z52.7166
X42.4594 Y53.2076 Z49.8761
X39.9684 Y53.9095 Z46.6144
X37.4823 Y54.9047 Z43.0716
X35.1616 Y56.1879 Z39.4039
X33.1271 Y57.7046 Z35.7728
X31.4481 Y59.3555 Z32.3351
X30.1417 Y61.0136 Z29.2329
X29.1831 Y62.5469 Z26.5832
X28.5206 Y63.8440 Z24.4659
X28.0927 Y64.8330 Z22.9129
X27.8403 Y65.4933 Z21.9015
X27.7122 Y65.8557 Z21.3542
X27.6650 Y65.9948 Z21.1455
X27.6582 Y66.0151 Z21.1152
