X59.6037 Y27.1103 Z40.7008
X59.6006 Y27.1057 Z40.7051
X59.5767 Y27.0775 Z40.7351
X59.4952 Y27.0356 Z40.8160
X59.2726 Y27.0809 Z40.9737
X58.7534 Y27.4628 Z41.2379
X57.7260 Y28.5894 Z41.6548
X56.0201 Y30.9443 Z42.3205
X53.6791 Y34.8975 Z43.4252
X51.0870 Y40.4760 Z45.2377
X48.8616 Y47.2398 Z47.9509
X47.4990 Y54.3718 Z51.4465
X47.0745 Y60.9412 Z55.2021
X47.2827 Y66.2020 Z58.5002
X47.7233 Y69.8169 Z60.8166
X48.1309 Y71.9133 Z62.0728
X48.4139 Y72.9240 Z62.5569
X48.5792 Y73.3240 Z62.6504
X48.6606 Y73.4535 Z62.6257
X48.6900 Y73.4867 Z62.6023
X48.6942 Y73.4907 Z62.5982
