X68.1344 Y64.6457 Z25.4561
X68.1297 Y64.6291 Z25.4500
X68.0945 Y64.5120 Z25.4104
X67.9768 Y64.1791 Z25.3215
X67.6633 Y63.4691 Z25.2157
X66.9475 Y62.1563 Z25.2066
X65.5499 Y60.0037 Z25.5109
X63.2271 Y56.9328 Z26.4459
X59.9424 Y53.2437 Z28.3747
X55.9874 Y49.6622 Z31.5602
X51.9361 Y47.0265 Z35.9407
X48.4186 Y45.8034 Z40.9981
X45.8470 Y45.8749 Z45.9179
X44.2845 Y46.7417 Z49.9749
X43.5266 Y47.8708 Z52.8305
X43.2776 Y48.9069 Z54.5567
X43.2796 Y49.6936 Z55.4579
X43.3590 Y50.2048 Z55.8672
X43.4266 Y50.4789 Z56.0288
X43.4567 Y50.5827 Z56.0792
X43.4613 Y50.5978 Z56.0860
