X33.2419 Y29.2615 Z46.1307
X33.2655 Y29.2421 Z46.1311
X33.4287 Y29.1103 Z46.1310
X33.8683 Y28.7735 Z46.1061
X34.7207 Y28.1879 Z45.9659
X36.1133 Y27.3944 Z45.5161
X38.1265 Y26.5610 Z44.4635
X40.7375 Y26.0233 Z42.4990
X43.7911 Y26.2875 Z39.4555
X47.0292 Y27.9176 Z35.4660
X50.1430 Y31.2411 Z30.9934
X52.8101 Y35.9964 Z26.6628
X54.7483 Y41.2892 Z22.9984
X55.8144 Y46.0580 Z20.2557
X56.0820 Y49.6480 Z18.4270
X55.8128 Y51.9765 Z17.3408
X55.3287 Y53.3130 Z16.7686
X54.8827 Y54.0022 Z16.5020
X54.5990 Y54.3143 Z16.3934
X54.4831 Y54.4221 Z16.3587
X54.4659 Y54.4373 Z16.3540
