X33.2419 Y29.2615 Z46.1307
X33.2523 Y29.2700 Z46.1006
X33.3238 Y29.3296 Z45.8941
X33.5145 Y29.4902 Z45.3533
X33.8792 Y29.8033 Z44.3574
X34.4694 Y30.3262 Z42.8379
X35.3315 Y31.1223 Z40.7885
X36.4997 Y32.2561 Z38.2675
X37.9868 Y33.7799 Z35.3912
X39.7740 Y35.7162 Z32.3192
X41.8066 Y38.0390 Z29.2313
X43.9943 Y40.6627 Z26.3018
X46.2197 Y43.4434 Z23.6743
X48.3517 Y46.1962 Z21.4456
X50.2632 Y48.7252 Z19.6606
X51.8494 Y50.8601 Z18.3182
X53.0459 Y52.4884 Z17.3830
X53.8401 Y53.5765 Z16.7970
X54.2749 Y54.1742 Z16.4875
X54.4416 Y54.4038 Z16.3709
X54.4659 Y54.4373 Z16.3540
