X30.8046 Y69.2056 Z26.4066
X30.8553 Y69.2242 Z26.3677
X31.2055 Y69.3494 Z26.1019
X32.1309 Y69.6525 Z25.4213
X33.8625 Y70.1150 Z24.2356
X36.5507 Y70.5721 Z22.6333
X40.2036 Y70.6883 Z20.9629
X44.6200 Y69.9932 Z19.8313
X49.3770 Y67.9907 Z19.9220
X53.9204 Y64.3266 Z21.6774
X57.7163 Y58.9936 Z25.0560
X60.3702 Y52.5181 Z29.5278
X61.6861 Y45.9166 Z34.2966
X61.7076 Y40.2400 Z38.6194
X60.7316 Y36.0532 Z42.0487
X59.2348 Y33.3411 Z44.4820
X57.7148 Y31.7660 Z46.0477
X56.5312 Y30.9395 Z46.9571
X55.8276 Y30.5591 Z47.4113
X55.5477 Y30.4264 Z47.5774
X55.5065 Y30.4077 Z47.6012
