X30.8046 Y69.2056 Z26.4066
X30.8075 Y69.1657 Z26.4090
X30.8280 Y68.8915 Z26.4260
X30.8882 Y68.1742 Z26.4790
X31.0236 Y66.8555 Z26.6074
X31.2934 Y64.8485 Z26.8788
X31.7828 Y62.1492 Z27.3850
X32.5944 Y58.8375 Z28.2221
X33.8278 Y55.0668 Z29.4622
X35.5504 Y51.0448 Z31.1270
X37.7688 Y47.0063 Z33.1752
X40.4102 Y43.1812 Z35.5050
X43.3206 Y39.7614 Z37.9684
X46.2850 Y36.8761 Z40.3940
X49.0662 Y34.5827 Z42.6115
X51.4497 Y32.8733 Z44.4777
X53.2870 Y31.6931 Z45.8994
X54.5236 Y30.9591 Z46.8494
X55.2057 Y30.5735 Z47.3714
X55.4682 Y30.4287 Z47.5720
X55.5065 Y30.4077 Z47.6012
