X38.2150 Y31.4663 Z20.0094
X38.2515 Y31.5350 Z19.9798
X38.5005 Y32.0113 Z19.7782
X39.1386 Y33.2901 Z19.2677
X40.2587 Y35.7525 Z18.3965
X41.8233 Y39.7213 Z17.2553
X43.6319 Y45.3064 Z16.1161
X45.3128 Y52.1702 Z15.4147
X46.3450 Y59.4185 Z15.6474
X46.1382 Y65.8311 Z17.1995
X44.2334 Y70.3440 Z20.1755
X40.5959 Y72.4534 Z24.2970
X35.7524 Y72.3223 Z28.9322
X30.5621 Y70.5944 Z33.3234
X25.8188 Y68.0775 Z36.9161
X22.0073 Y65.4842 Z39.5205
X19.2816 Y63.3027 Z41.2241
X17.5650 Y61.7714 Z42.2260
X16.6610 Y60.9099 Z42.7308
X16.3215 Y60.5757 Z42.9161
X16.2724 Y60.5269 Z42.9427
