X38.2150 Y31.4663 Z20.0094
X38.1899 Y31.4869 Z20.0157
X38.0168 Y31.6291 Z20.0598
X37.5646 Y32.0037 Z20.1794
X36.7353 Y32.7019 Z20.4161
X35.4792 Y33.7885 Z20.8197
X33.8036 Y35.2971 Z21.4501
X31.7739 Y37.2264 Z22.3734
X29.5050 Y39.5382 Z23.6497
X27.1426 Y42.1587 Z25.3161
X24.8389 Y44.9831 Z27.3668
X22.7272 Y47.8829 Z29.7389
X20.9028 Y50.7172 Z32.3087
X19.4143 Y53.3452 Z34.9033
X18.2673 Y55.6411 Z37.3283
X17.4349 Y57.5091 Z39.4049
X16.8725 Y58.8983 Z41.0063
X16.5282 Y59.8118 Z42.0848
X16.3490 Y60.3090 Z42.6802
X16.2821 Y60.4992 Z42.9093
X16.2724 Y60.5269 Z42.9427
