X30.3554 Y59.0717 Z20.0714
X30.3555 Y59.0715 Z20.0716
X30.3558 Y59.0697 Z20.0728
X30.3568 Y59.0648 Z20.0761
X30.3586 Y59.0553 Z20.0825
X30.3616 Y59.0397 Z20.0930
X30.3661 Y59.0165 Z20.1086
X30.3723 Y58.9842 Z20.1304
X30.3807 Y58.9415 Z20.1592
X30.3913 Y58.8870 Z20.1960
X30.4047 Y58.8193 Z20.2418
X30.4210 Y58.7373 Z20.2974
X30.4407 Y58.6398 Z20.3637
X30.4640 Y58.5256 Z20.4415
X30.4913 Y58.3937 Z20.5317
X30.5229 Y58.2433 Z20.6350
X30.5594 Y58.0733 Z20.7521
X30.6011 Y57.8832 Z20.8837
X30.6484 Y57.6723 Z21.0305
X30.7018 Y57.4400 Z21.1932
X30.7618 Y57.1859 Z21.3722
X30.8290 Y56.9097 Z21.5682
X30.9038 Y56.6112 Z21.7816
X30.9869 Y56.2903 Z22.0128
X31.0789 Y55.9471 Z22.2623
X31.1804 Y55.5817 Z22.5304
X31.2920 Y55.1945 Z22.8174
X31.4145 Y54.7859 Z23.1234
X31.5484 Y54.3563 Z23.4488
X31.6945 Y53.9064 Z23.7936
X31.8535 Y53.4370 Z24.1578
X32.0259 Y52.9490 Z24.5414
X32.2126 Y52.4434 Z24.9443
X32.4141 Y51.9212 Z25.3665
X32.6311 Y51.3835 Z25.8075
X32.8641 Y50.8317 Z26.2673
X33.1138 Y50.2672 Z26.7454
X33.3805 Y49.6912 Z27.2413
X33.6648 Y49.1053 Z27.7546
X33.9671 Y48.5111 Z28.2847
X34.2875 Y47.9101 Z28.8309
X34.6264 Y47.3038 Z29.3925
X34.9839 Y46.6941 Z29.9688
X35.3600 Y46.0823 Z30.5589
X35.7546 Y45.4704 Z31.1619
X36.1676 Y44.8597 Z31.7768
X36.5988 Y44.2520 Z32.4026
X37.0476 Y43.6489 Z33.0383
X37.5137 Y43.0518 Z33.6827
X37.9963 Y42.4622 Z34.3346
X38.4948 Y41.8816 Z34.9929
X39.0083 Y41.3112 Z35.6563
X39.5358 Y40.7523 Z36.3235
X40.0762 Y40.2061 Z36.9932
X40.6283 Y39.6736 Z37.6641
X41.1908 Y39.1558 Z38.3349
X41.7624 Y38.6535 Z39.0041
X42.3415 Y38.1675 Z39.6705
X42.9267 Y37.6985 Z40.3326
X43.5162 Y37.2470 Z40.9891
X44.1084 Y36.8133 Z41.6387
X44.7015 Y36.3978 Z42.2798
X45.2939 Y36.0008 Z42.9114
X45.8836 Y35.6223 Z43.5320
X46.4689 Y35.2623 Z44.1403
X47.0481 Y34.9209 Z44.7352
X47.6193 Y34.5977 Z45.3154
X48.1807 Y34.2927 Z45.8799
X48.7308 Y34.0054 Z46.4274
X49.2678 Y33.7356 Z46.9571
X49.7902 Y33.4828 Z47.4679
X50.2965 Y33.2466 Z47.9591
X50.7853 Y33.0265 Z48.4297
X51.2554 Y32.8219 Z48.8791
X51.7056 Y32.6323 Z49.3067
X52.1349 Y32.4570 Z49.7120
X52.5424 Y32.2956 Z50.0946
X52.9274 Y32.1474 Z50.4542
X53.2892 Y32.0118 Z50.7906
X53.6274 Y31.8882 Z51.1038
X53.9419 Y31.7760 Z51.3938
X54.2324 Y31.6746 Z51.6608
X54.4990 Y31.5834 Z51.9050
X54.7420 Y31.5018 Z52.1270
X54.9616 Y31.4294 Z52.3271
X55.1585 Y31.3654 Z52.5061
X55.3334 Y31.3093 Z52.6647
X55.4869 Y31.2607 Z52.8038
X55.6202 Y31.2190 Z52.9243
X55.7342 Y31.1836 Z53.0273
X55.8302 Y31.1540 Z53.1139
X55.9094 Y31.1298 Z53.1854
X55.9734 Y31.1103 Z53.2430
X56.0235 Y31.0952 Z53.2881
X56.0614 Y31.0837 Z53.3222
X56.0887 Y31.0755 Z53.3467
X56.1071 Y31.0700 Z53.3632
X56.1182 Y31.0666 Z53.3733
X56.1240 Y31.0649 Z53.3785
X56.1261 Y31.0643 Z53.3804
X56.1264 Y31.0642 Z53.3806
