X18.6772 Y70.6159 Z6.1627
X18.6615 Y70.5623 Z6.2166
X18.5549 Y70.1941 Z6.5876
X18.2872 Y69.2330 Z7.5611
X17.8383 Y67.4757 Z9.3609
X17.2650 Y64.8280 Z12.1232
X16.7135 Y61.3282 Z15.8788
X16.4063 Y57.1528 Z20.5500
X16.6059 Y52.6003 Z25.9688
X17.5605 Y48.0452 Z31.9096
X19.4409 Y43.8660 Z38.1227
X22.2837 Y40.3630 Z44.3574
X25.9568 Y37.6961 Z50.3714
X30.1631 Y35.8693 Z55.9331
X34.4857 Y34.7607 Z60.8264
X38.4689 Y34.1798 Z64.8647
X41.7179 Y33.9279 Z67.9202
X43.9959 Y33.8437 Z69.9621
X45.2856 Y33.8247 Z71.0867
X45.7884 Y33.8224 Z71.5194
X45.8620 Y33.8222 Z71.5825
