X20.8997 Y67.0054 Z63.8013
X20.8669 Y66.9373 Z63.7498
X20.6421 Y66.4698 Z63.3981
X20.0586 Y65.2521 Z62.4971
X19.0033 Y63.0307 Z60.9091
X17.4393 Y59.6808 Z58.6506
X15.4136 Y55.2042 Z55.8881
X13.0485 Y49.7029 Z52.8905
X10.5206 Y43.3457 Z49.9630
X8.0358 Y36.3480 Z47.3847
X5.8040 Y28.9649 Z45.3616
X4.0130 Y21.4926 Z43.9965
X2.7971 Y14.2625 Z43.2807
X2.2036 Y7.6176 Z43.1080
X2.1671 Y1.8688 Z43.3083
X2.5149 Y-2.7571 Z43.6934
X3.0178 Y-6.1582 Z44.1002
X3.4713 Y-8.3726 Z44.4207
X3.7613 Y-9.5699 Z44.6121
X3.8804 Y-10.0260 Z44.6884
X3.8981 Y-10.0923 Z44.6997
