X13.0123 Y54.8336 Z75.8798
X12.9629 Y54.7915 Z75.8561
X12.6217 Y54.4990 Z75.6859
X11.7168 Y53.7084 Z75.1843
X10.0144 Y52.1642 Z74.0507
X7.3642 Y49.6121 Z71.8044
X3.8204 Y45.8787 Z67.8062
X-0.1367 Y41.0357 Z61.3872
X-3.3828 Y35.5841 Z52.0471
X-4.2715 Y30.5362 Z39.7131
X-1.5200 Y27.2578 Z25.1838
X4.5394 Y26.9175 Z10.6507
X12.0111 Y29.6402 Z-0.8332
X18.9389 Y34.2170 Z-7.5247
X24.3115 Y38.9982 Z-10.0496
X27.9904 Y42.9186 Z-10.1100
X30.2748 Y45.6655 Z-9.1939
X31.5623 Y47.3498 Z-8.2124
X32.1921 Y48.2195 Z-7.5653
X32.4198 Y48.5429 Z-7.2982
X32.4523 Y48.5895 Z-7.2584
