X3.8008 Y71.5068 Z17.8135
X3.6902 Y71.4409 Z17.8829
X2.9315 Y70.9837 Z18.3629
X0.9562 Y69.7533 Z19.6354
X-2.6270 Y67.3591 Z22.0078
X-7.9046 Y63.3793 Z25.5723
X-14.4768 Y57.3788 Z29.9858
X-21.1858 Y49.0393 Z34.4594
X-25.7187 Y38.4862 Z38.1607
X-24.3020 Y26.7528 Z40.6255
X-13.3064 Y15.8927 Z41.7916
X5.2353 Y8.1634 Z41.8271
X23.8029 Y4.8141 Z40.9974
X37.9622 Y5.6371 Z39.6099
X47.5739 Y9.3570 Z37.9855
X53.7631 Y14.2840 Z36.4183
X57.5715 Y18.9233 Z35.1279
X59.7541 Y22.3639 Z34.2277
X60.8441 Y24.3494 Z33.7220
X61.2435 Y25.1276 Z33.5259
X61.3009 Y25.2416 Z33.4972
