X17.6202 Y40.2166 Z28.2582
X17.6635 Y40.2295 Z28.2801
X17.9619 Y40.3186 Z28.4305
X18.7445 Y40.5564 Z28.8273
X20.1909 Y41.0117 Z29.5688
X22.4130 Y41.7508 Z30.7289
X25.4464 Y42.8376 Z32.3532
X29.2526 Y44.3289 Z34.4572
X33.7309 Y46.2651 Z37.0255
X38.7360 Y48.6601 Z40.0125
X44.0953 Y51.4912 Z43.3426
X49.6216 Y54.6925 Z46.9117
X55.1196 Y58.1521 Z50.5879
X60.3867 Y61.7122 Z54.2126
X65.2114 Y65.1725 Z57.6038
X69.3763 Y68.3028 Z60.5684
X72.6791 Y70.8718 Z62.9290
X74.9836 Y72.7058 Z64.5728
X76.2948 Y73.7631 Z65.5041
X76.8085 Y74.1799 Z65.8677
X76.8839 Y74.2412 Z65.9210
