X17.6202 Y40.2166 Z28.2582
X17.6154 Y40.2062 Z28.2710
X17.5877 Y40.1361 Z28.3614
X17.5550 Y39.9645 Z28.6184
X17.6498 Y39.6963 Z29.1668
X18.1917 Y39.4164 Z30.1830
X19.7017 Y39.3203 Z31.8748
X22.7865 Y39.7285 Z34.4210
X27.8769 Y41.0535 Z37.9020
X34.9391 Y43.6778 Z42.2561
X43.3815 Y47.7493 Z47.2560
X52.2428 Y53.0119 Z52.4957
X60.4945 Y58.8053 Z57.4199
X67.2823 Y64.2594 Z61.4426
X72.1014 Y68.6095 Z64.1631
X74.9423 Y71.5048 Z65.5737
X76.2728 Y73.1034 Z66.0469
X76.7444 Y73.8449 Z66.0675
X76.8628 Y74.1379 Z65.9806
X76.8823 Y74.2289 Z65.9293
X76.8839 Y74.2412 Z65.9210
