X70.8238 Y19.3720 Z1.1186
X70.7532 Y19.3290 Z1.1368
X70.2686 Y19.0416 Z1.2645
X69.0066 Y18.3549 Z1.6200
X66.7079 Y17.3227 Z2.3557
X63.2617 Y16.2600 Z3.6858
X58.7276 Y15.6496 Z5.8917
X53.3330 Y15.9465 Z9.2853
X47.4525 Y17.4163 Z14.1233
X41.5666 Y20.0880 Z20.4920
X36.1924 Y23.8018 Z28.2197
X31.7791 Y28.2858 Z36.8772
X28.5988 Y33.2157 Z45.8749
X26.6829 Y38.2483 Z54.5953
X25.8384 Y43.0385 Z62.4898
X25.7316 Y47.2563 Z69.1257
X25.9969 Y50.6213 Z74.2146
X26.3359 Y52.9631 Z77.6511
X26.5766 Y54.2883 Z79.5579
X26.6794 Y54.8054 Z80.2947
X26.6948 Y54.8811 Z80.4023
