X69.8630 Y18.4089 Z77.3870
X69.7810 Y18.4251 Z77.3200
X69.2214 Y18.5385 Z76.8610
X67.7932 Y18.8498 Z75.6767
X65.2981 Y19.4787 Z73.5568
X61.8043 Y20.5797 Z70.4556
X57.6392 Y22.3431 Z66.4854
X53.2982 Y24.9698 Z61.8753
X49.3105 Y28.6178 Z56.9208
X46.1128 Y33.3343 Z51.9434
X43.9652 Y39.0022 Z47.2566
X42.9259 Y45.3310 Z43.1320
X42.8758 Y51.9048 Z39.7625
X43.5719 Y58.2639 Z37.2319
X44.7087 Y63.9858 Z35.5049
X45.9761 Y68.7423 Z34.4465
X47.1131 Y72.3367 Z33.8698
X47.9511 Y74.7281 Z33.5919
X48.4378 Y76.0397 Z33.4754
X48.6296 Y76.5432 Z33.4374
X48.6578 Y76.6165 Z33.4322
