X24.5346 Y74.6198 Z29.3107
X24.3934 Y74.4826 Z29.3249
X23.4276 Y73.5402 Z29.4282
X20.9405 Y71.0792 Z29.7431
X16.5218 Y66.5671 Z30.4799
X10.2042 Y59.7095 Z31.9352
X2.6175 Y50.4693 Z34.3201
X-4.7873 Y39.0898 Z37.4197
X-9.3587 Y26.1909 Z40.3743
X-7.1162 Y12.9449 Z41.9123
X4.5229 Y1.1596 Z40.9588
X21.1902 Y-6.9452 Z37.2883
X36.1187 Y-9.2692 Z31.8294
X47.4270 Y-4.7537 Z26.2026
X55.8782 Y5.4515 Z21.7203
X62.2513 Y18.0251 Z18.8046
X66.9050 Y29.4188 Z17.1939
X69.9942 Y37.6034 Z16.4180
X71.7020 Y42.2250 Z16.0921
X72.3618 Y44.0165 Z15.9855
X72.4582 Y44.2781 Z15.9708
