X69.5129 Y66.1895 Z11.4116
X69.4730 Y66.1182 Z11.4360
X69.2000 Y65.6294 Z11.6054
X68.4960 Y64.3601 Z12.0586
X67.2389 Y62.0630 Z12.9296
X65.4134 Y58.6599 Z14.3510
X63.1157 Y54.2685 Z16.4477
X60.5307 Y49.1896 Z19.3175
X57.8941 Y43.8522 Z22.9976
X55.4508 Y38.7235 Z27.4326
X53.4174 Y34.2056 Z32.4588
X51.9482 Y30.5553 Z37.8168
X51.1090 Y27.8538 Z43.1909
X50.8631 Y26.0298 Z48.2577
X51.0783 Y24.9145 Z52.7307
X51.5598 Y24.3039 Z56.3951
X52.1028 Y24.0083 Z59.1331
X52.5486 Y23.8830 Z60.9393
X52.8217 Y23.8369 Z61.9245
X52.9318 Y23.8232 Z62.3017
X52.9481 Y23.8214 Z62.3566
