X69.5129 Y66.1895 Z11.4116
X69.4216 Y66.1143 Z11.3185
X68.7925 Y65.5949 Z10.6808
X67.1349 Y64.2178 Z9.0333
X64.0420 Y61.6152 Z6.0932
X59.2165 Y57.4692 Z1.8935
X52.5002 Y51.5304 Z-3.0409
X43.9475 Y43.7072 Z-7.4484
X34.0107 Y34.3199 Z-9.0959
X23.8772 Y24.5159 Z-5.2053
X15.7622 Y16.3295 Z5.1396
X12.3923 Y11.5707 Z18.8223
X15.0924 Y10.4820 Z31.7401
X22.3732 Y11.9948 Z42.0605
X31.2664 Y14.7853 Z49.6824
X39.4050 Y17.8180 Z55.0369
X45.6494 Y20.4304 Z58.5926
X49.7574 Y22.2918 Z60.7543
X51.9795 Y23.3490 Z61.8766
X52.8253 Y23.7611 Z62.2960
X52.9481 Y23.8214 Z62.3566
