X75.2963 Y8.4005 Z44.3967
X75.2530 Y8.4511 Z44.3776
X74.9557 Y8.8001 Z44.2477
X74.1821 Y9.7196 Z43.9178
X72.7771 Y11.4338 Z43.3495
X70.6844 Y14.0999 Z42.5801
X67.9665 Y17.7895 Z41.7310
X64.8042 Y22.4738 Z40.9923
X61.4711 Y28.0210 Z40.5879
X58.2825 Y34.2147 Z40.7299
X55.5295 Y40.7877 Z41.5723
X53.4170 Y47.4568 Z43.1727
X52.0260 Y53.9471 Z45.4684
X51.3109 Y60.0005 Z48.2742
X51.1275 Y65.3783 Z51.3025
X51.2786 Y69.8682 Z54.2087
X51.5666 Y73.3094 Z56.6611
X51.8386 Y75.6371 Z58.4266
X52.0147 Y76.9310 Z59.4439
X52.0874 Y77.4315 Z59.8442
X52.0982 Y77.5046 Z59.9029
