X75.2963 Y8.4005 Z44.3967
X75.2416 Y8.3339 Z44.3598
X74.8615 Y7.8819 Z44.1054
X73.8318 Y6.7509 Z43.4299
X71.8048 Y4.8813 Z42.1536
X68.3859 Y2.6263 Z40.1430
X63.1722 Y0.9089 Z37.3760
X55.9451 Y1.2137 Z34.0727
X47.1089 Y5.1245 Z30.8572
X38.2152 Y13.2737 Z28.7939
X31.7150 Y24.5546 Z29.0455
X29.3401 Y36.8151 Z32.1311
X30.8855 Y48.2199 Z37.4254
X34.8695 Y57.7787 Z43.5474
X39.6988 Y65.1662 Z49.1972
X44.2191 Y70.4555 Z53.6387
X47.7912 Y73.9408 Z56.7004
X50.1975 Y76.0118 Z58.5552
X51.5182 Y77.0621 Z59.5027
X52.0245 Y77.4490 Z59.8526
X52.0982 Y77.5046 Z59.9029
