X-9.0969 Y50.5980 Z74.7954
X-9.0550 Y50.5459 Z74.7403
X-8.7648 Y50.1883 Z74.3629
X-7.9875 Y49.2630 Z73.3842
X-6.4902 Y47.5982 Z71.6187
X-4.0415 Y45.1507 Z69.0198
X-0.4260 Y42.0143 Z65.7034
X4.5052 Y38.3981 Z61.9388
X10.7575 Y34.5857 Z58.0991
X18.1295 Y30.8874 Z54.5794
X26.2183 Y27.5922 Z51.7059
X34.5064 Y24.9232 Z49.6660
X42.4804 Y22.9998 Z48.4843
X49.7143 Y21.8193 Z48.0438
X55.9001 Y21.2660 Z48.1364
X60.8480 Y21.1489 Z48.5214
X64.4848 Y21.2587 Z48.9812
X66.8597 Y21.4238 Z49.3626
X68.1480 Y21.5450 Z49.5963
X68.6399 Y21.5973 Z49.6906
X68.7114 Y21.6052 Z49.7045
