X-9.0969 Y50.5980 Z74.7954
X-9.1128 Y50.6027 Z74.7537
X-9.2157 Y50.6304 Z74.4611
X-9.4360 Y50.6636 Z73.6443
X-9.6541 Y50.5770 Z71.9463
X-9.5097 Y50.0835 Z68.8686
X-8.3654 Y48.7698 Z63.8179
X-5.3571 Y46.2702 Z56.4134
X0.4011 Y42.5188 Z47.1602
X9.3383 Y37.9058 Z38.0587
X20.8287 Y33.1944 Z31.8704
X33.1886 Y29.1879 Z30.0402
X44.5417 Y26.3182 Z31.8901
X53.6594 Y24.4970 Z35.7264
X60.1628 Y23.3664 Z39.9987
X64.3147 Y22.6279 Z43.7371
X66.6993 Y22.1370 Z46.5278
X67.9326 Y21.8331 Z48.3278
X68.4916 Y21.6736 Z49.2887
X68.6844 Y21.6138 Z49.6519
X68.7114 Y21.6052 Z49.7045
