X20.8997 Y67.0054 Z63.8013
X20.9575 Y67.0097 Z63.8174
X21.3522 Y67.0328 Z63.9241
X22.3639 Y67.0415 Z64.1684
X24.1401 Y66.8559 Z64.4836
X26.6184 Y66.0527 Z64.6257
X29.4826 Y63.9477 Z64.1959
X32.2088 Y59.7617 Z62.8315
X34.2382 Y52.9823 Z60.5029
X35.1930 Y43.7056 Z57.6191
X34.9330 Y32.7092 Z54.7688
X33.4048 Y21.2593 Z52.3550
X30.5205 Y10.7597 Z50.4518
X26.2724 Y2.3202 Z48.9261
X20.9873 Y-3.5761 Z47.6426
X15.4161 Y-7.1191 Z46.5649
X10.4878 Y-8.9302 Z45.7261
X6.8924 Y-9.7129 Z45.1557
X4.8257 Y-9.9987 Z44.8394
X4.0166 Y-10.0815 Z44.7175
X3.8981 Y-10.0923 Z44.6997
