X25.9598 Y-2.1947 Z63.3961
X26.0010 Y-2.1888 Z63.3625
X26.2844 Y-2.1472 Z63.1320
X27.0244 Y-2.0293 Z62.5328
X28.3801 Y-1.7770 Z61.4454
X30.4361 Y-1.3023 Z59.8287
X33.1988 Y-0.4816 Z57.7341
X36.6081 Y0.8326 Z55.3044
X40.5568 Y2.7837 Z52.7516
X44.9078 Y5.4710 Z50.3164
X49.5050 Y8.9089 Z48.2179
X54.1792 Y13.0000 Z46.6077
X58.7501 Y17.5308 Z45.5428
X63.0308 Y22.1949 Z44.9852
X66.8360 Y26.6370 Z44.8232
X70.0001 Y30.5127 Z44.9085
X72.4060 Y33.5548 Z45.0958
X74.0182 Y35.6338 Z45.2760
X74.9074 Y36.7930 Z45.3930
X75.2497 Y37.2416 Z45.4412
X75.2996 Y37.3071 Z45.4484
