X25.9598 Y-2.1947 Z63.3961
X25.8395 Y-2.0664 Z63.4075
X25.0278 Y-1.1822 Z63.4874
X23.0342 Y1.1466 Z63.7101
X19.9043 Y5.4706 Z64.1698
X16.5717 Y12.0900 Z64.9881
X14.7532 Y20.8878 Z66.2777
X16.0074 Y31.1918 Z68.0226
X20.7506 Y41.8004 Z69.8775
X28.2203 Y51.1904 Z70.9997
X37.0572 Y57.8516 Z70.1834
X45.8900 Y60.8013 Z66.6626
X53.7670 Y60.1034 Z61.1645
X60.3072 Y56.7622 Z55.5181
X65.4993 Y52.0705 Z51.1049
X69.4320 Y47.1697 Z48.2626
X72.2070 Y42.9247 Z46.6840
X73.9635 Y39.8584 Z45.9089
X74.8964 Y38.0982 Z45.5751
X75.2486 Y37.4082 Z45.4639
X75.2996 Y37.3071 Z45.4484
