X69.4083 Y28.6427 Z10.1475
X69.3682 Y28.4355 Z10.1815
X69.0894 Y27.0103 Z10.4181
X68.3301 Y23.2850 Z11.0565
X66.8172 Y16.5307 Z12.3021
X64.1989 Y6.8478 Z14.3680
X59.9841 Y-4.1104 Z17.4387
X53.4603 Y-13.0382 Z21.5730
X43.6261 Y-16.5494 Z26.5744
X29.4733 Y-13.1957 Z31.9345
X11.7471 Y-3.8695 Z36.9686
X-4.0990 Y9.0766 Z41.0851
X-11.8862 Y22.9444 Z43.9671
X-12.1816 Y35.6156 Z45.5786
X-8.7387 Y45.9575 Z46.0956
X-4.3310 Y53.6768 Z45.8447
X-0.4290 Y58.9667 Z45.2279
X2.3489 Y62.2285 Z44.6065
X3.9179 Y63.9314 Z44.1927
X4.5272 Y64.5691 Z44.0200
X4.6162 Y64.6612 Z43.9942
