X68.2023 Y70.7000 Z15.4939
X68.1070 Y70.5943 Z15.3872
X67.4527 Y69.8677 Z14.6573
X65.7453 Y67.9633 Z12.7795
X62.6138 Y64.4395 Z9.4567
X57.8341 Y58.9857 Z4.7697
X51.3156 Y51.4274 Z-0.6505
X43.1102 Y41.8424 Z-5.4087
X33.5472 Y30.9711 Z-7.1681
X23.5980 Y20.8169 Z-3.1597
X15.3292 Y14.2649 Z7.4125
X11.5070 Y12.8653 Z21.3978
X13.5036 Y15.6991 Z34.7658
X19.8882 Y20.8334 Z45.7111
X27.9503 Y26.6325 Z54.0953
X35.5578 Y32.0105 Z60.2639
X41.5870 Y36.3288 Z64.5698
X45.6691 Y39.3058 Z67.3084
X47.9227 Y40.9716 Z68.7776
X48.7899 Y41.6171 Z69.3365
X48.9163 Y41.7114 Z69.4177
