X69.4083 Y28.6427 Z10.1475
X69.3870 Y28.4803 Z10.2143
X69.2367 Y27.3679 Z10.6753
X68.8118 Y24.4957 Z11.8908
X67.9071 Y19.4275 Z14.1566
X66.2084 Y12.5037 Z17.6587
X63.2545 Y5.2316 Z22.3996
X58.4213 Y-0.0256 Z28.1161
X50.9523 Y-1.2698 Z34.2620
X40.2238 Y2.1694 Z40.1332
X26.6961 Y9.6662 Z45.0877
X13.2128 Y19.7772 Z48.7006
X3.6530 Y30.7372 Z50.7800
X-0.7068 Y40.9592 Z51.3341
X-1.2707 Y49.4213 Z50.5778
X0.0404 Y55.7560 Z48.9528
X1.8251 Y60.0723 Z47.0595
X3.3078 Y62.7106 Z45.4586
X4.2049 Y64.0778 Z44.4605
X4.5634 Y64.5876 Z44.0544
X4.6162 Y64.6612 Z43.9942
