X19.9091 Y71.4365 Z25.2498
X19.8931 Y71.3714 Z25.1212
X19.7844 Y70.9206 Z24.2439
X19.5107 Y69.7193 Z22.0061
X19.0508 Y67.4250 Z18.1391
X18.4685 Y63.7119 Z12.9915
X17.9415 Y58.2873 Z7.7796
X17.7706 Y50.9999 Z4.5124
X18.3428 Y42.1604 Z5.2068
X20.0064 Y33.0845 Z10.6335
X22.8612 Y26.1660 Z19.7788
X26.6106 Y23.4386 Z30.6547
X30.6606 Y24.9676 Z41.4569
X34.4038 Y29.2717 Z51.0646
X37.4436 Y34.6287 Z58.9618
X39.6479 Y39.7451 Z65.0112
X41.0854 Y43.8619 Z69.2889
X41.9230 Y46.6773 Z72.0004
X42.3401 Y48.2389 Z73.4430
X42.4921 Y48.8408 Z73.9886
X42.5139 Y48.9285 Z74.0676
