X6.7528 Y74.4819 Z-12.5965
X6.7477 Y74.4563 Z-12.7761
X6.7087 Y74.2702 Z-14.0097
X6.5756 Y73.6992 Z-17.2175
X6.2122 Y72.3235 Z-22.9533
X5.3694 Y69.3870 Z-30.8703
X3.7513 Y63.7331 Z-38.7058
X1.3057 Y53.8764 Z-41.2582
X-1.2243 Y38.3124 Z-32.6961
X-1.6937 Y16.8997 Z-14.2063
X3.2551 Y-5.0435 Z7.6046
X15.3137 Y-17.5196 Z28.1591
X31.2548 Y-19.1604 Z45.5897
X46.0519 Y-15.4636 Z59.2649
X56.9734 Y-10.4489 Z69.0969
X63.6613 Y-5.9438 Z75.4468
X67.0372 Y-2.5735 Z79.0834
X68.4124 Y-0.3983 Z80.9285
X68.8593 Y0.7648 Z81.7443
X68.9722 Y1.2050 Z82.0208
X68.9859 Y1.2688 Z82.0594
