X6.7528 Y74.4819 Z-12.5965
X6.7086 Y74.3824 Z-12.5352
X6.4068 Y73.6983 Z-12.1099
X5.6385 Y71.9065 Z-10.9666
X4.3065 Y68.6043 Z-8.7618
X2.4843 Y63.5562 Z-5.1998
X0.4463 Y56.7267 Z-0.1274
X-1.3321 Y48.3142 Z6.3831
X-2.1990 Y38.7982 Z14.0524
X-1.3857 Y28.9675 Z22.4999
X1.8536 Y19.8248 Z31.3461
X7.9793 Y12.2926 Z40.2558
X16.8583 Y6.8664 Z48.9349
X27.6431 Y3.4978 Z57.1075
X38.9958 Y1.7581 Z64.4946
X49.5108 Y1.0896 Z70.8082
X58.0750 Y0.9890 Z75.7778
X64.0716 Y1.0949 Z79.2269
X67.4673 Y1.2076 Z81.1824
X68.7920 Y1.2606 Z81.9472
X68.9859 Y1.2688 Z82.0594
