X78.8084 Y24.9534 Z36.2703
X78.8175 Y25.0138 Z36.2858
X78.8767 Y25.4243 Z36.3949
X79.0030 Y26.4614 Z36.6990
X79.1236 Y28.2191 Z37.3282
X79.0204 Y30.4938 Z38.4581
X78.3241 Y32.7555 Z40.3053
X76.6245 Y34.3404 Z43.0997
X73.7108 Y34.8440 Z47.0309
X69.7971 Y34.3710 Z52.1325
X65.4941 Y33.3351 Z58.0978
X61.4925 Y32.0408 Z64.1860
X58.2196 Y30.5093 Z69.4448
X55.7415 Y28.6551 Z73.1724
X53.9258 Y26.5376 Z75.2346
X52.6336 Y24.4149 Z76.0010
X51.7696 Y22.6004 Z76.0355
X51.2493 Y21.3038 Z75.8171
X50.9838 Y20.5659 Z75.6207
X50.8859 Y20.2781 Z75.5316
X50.8718 Y20.2360 Z75.5180
