X8.3275 Y72.8525 Z56.4055
X8.2611 Y72.8048 Z56.3403
X7.8061 Y72.4712 Z55.8840
X6.6291 Y71.5467 Z54.6244
X4.5241 Y69.6523 Z52.0666
X1.5105 Y66.2876 Z47.6160
X-2.0186 Y60.8584 Z40.7651
X-5.0536 Y52.8189 Z31.6544
X-5.6515 Y41.9349 Z21.9179
X-1.0178 Y28.7259 Z14.7752
X10.5556 Y15.1412 Z12.8550
X26.5742 Y4.7145 Z15.8525
X42.1590 Y0.3985 Z21.5178
X54.4960 Y1.8386 Z27.7093
X63.1614 Y6.3806 Z33.1322
X68.7399 Y11.5303 Z37.2594
X72.0512 Y15.8526 Z40.0644
X73.8468 Y18.8182 Z41.7615
X74.6986 Y20.4532 Z42.6322
X75.0011 Y21.0803 Z42.9550
X75.0440 Y21.1715 Z43.0015
